name,datetime,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,radiac_solar_watios_m2,energ_solar_MJ_m2,clase_hoy,clase_manana
Lima,2010-09-07,17.7,13.9,12.5,84.1,22.3,173.7,97,299.2,25.8,nublado,nublado
Lima,2010-09-08,17,13.9,12.3,83.3,18.4,173.1,97,281.9,24.5,nublado,nublado
Lima,2010-09-09,19,14.7,12.1,77.1,20.5,173.3,57.7,296.1,25.6,parcialmente_nublado,nublado
Lima,2010-09-10,18.1,14,12.5,80.3,25.9,167.9,72.6,299.3,25.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-11,17.1,14,12.2,81.2,14.8,200.2,86.2,296.5,25.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-12,18,14.7,12.5,80.7,18.4,182.4,97.1,297.7,25.7,nublado,parcialmente_nublado
Lima,2010-09-13,17,14.6,12.3,81.7,20.5,203.5,99.1,297.5,25.8,nublado,nublado
Lima,2010-09-14,17,14,12.3,80.9,14.8,282,91.7,280.2,24.4,nublado,nublado
Lima,2010-09-15,18.1,14.7,12.8,82.2,13,198.4,87.7,224.9,19.3,parcialmente_nublado,nublado
Lima,2010-09-16,18.1,14.8,13.3,84.7,13,219.6,61.2,301,26,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-17,19,14,13.8,86.4,18.4,201.2,65.8,304.2,26.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-18,20,14.7,14.2,86.1,22.3,176.1,56.4,304.9,26.4,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-19,19.1,14.8,14,88.2,22.3,177.5,86.4,291.2,25.1,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-20,19,14.7,14.1,86.6,22.3,177.4,98.4,286.7,24.9,nublado,parcialmente_nublado
Lima,2010-09-21,19,15,14.1,86.9,20.5,185.5,91.5,287.6,24.8,nublado,nublado
Lima,2010-09-22,20,15.8,14.3,83.8,24.1,170.9,78.1,293.6,25.3,parcialmente_nublado,nublado
Lima,2010-09-23,19,15,14.2,86.9,22.3,174.4,95.4,290,25,nublado,parcialmente_nublado
Lima,2010-09-24,19,15,14.1,86.1,29.5,193.5,98.6,291.9,25.4,nublado,nublado
Lima,2010-09-25,18,15,13.8,85.4,24.1,178.4,85.4,218.7,18.8,parcialmente_nublado,nublado
Lima,2010-09-26,19,14.9,14,85.7,22.3,168.8,84.1,305.1,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-27,17.1,15,13.4,84.1,18.4,197.3,97.8,313,27,nublado,parcialmente_nublado
Lima,2010-09-28,19,15,13.3,81.6,18.4,185.5,81.1,314.9,27.3,parcialmente_nublado,nublado
Lima,2010-09-29,19,14,13.2,83.8,14.8,194.5,69.6,241.6,20.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-09-30,18.2,14.9,13.6,84.2,14.8,225.6,93.3,292.7,25.4,nublado,parcialmente_nublado
Lima,2010-10-01,19.2,15.2,13.6,81,22.3,181.3,89,310.2,26.5,parcialmente_nublado,nublado
Lima,2010-10-02,18,14,13.8,87,20.5,175.4,85.5,318.7,27.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-03,17.2,15,13.8,88,14.8,187.4,93.6,324,28,nublado,parcialmente_nublado
Lima,2010-10-04,19,15,14,86.3,14.8,212.2,90.8,328,28.4,nublado,nublado
Lima,2010-10-05,17,14,13.5,86.4,13,198.5,100,324.7,28.1,nublado,nublado
Lima,2010-10-06,18,15,13.5,84,22.3,180.2,97.9,326.7,28.3,nublado,nublado
Lima,2010-10-07,19,14.9,12.9,80.5,20.5,204.1,73.7,332,28.7,parcialmente_nublado,nublado
Lima,2010-10-08,19,15,13.1,81.8,13,210.8,100,321,27.7,nublado,parcialmente_nublado
Lima,2010-10-09,20,15,13.1,79.7,27.7,175.6,78.2,327.8,28.3,parcialmente_nublado,nublado
Lima,2010-10-10,18,15,13,82.2,14.8,215.1,100,291.3,25.1,nublado,parcialmente_nublado
Lima,2010-10-11,19.2,15,13.2,80.4,16.6,190.9,64,323.3,27.9,parcialmente_nublado,nublado
Lima,2010-10-12,20,14.8,13.6,82.7,24.1,176.6,57.2,330.3,28.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-13,19,14.9,14,86.6,22.3,182.7,89.9,331.1,28.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-14,19,15,13.7,84.7,16.6,235.4,97.5,332.4,28.6,nublado,parcialmente_nublado
Lima,2010-10-15,20,15,13.4,81,14.8,219.1,70.2,311.6,26.8,parcialmente_nublado,nublado
Lima,2010-10-16,19,15,13.8,83.7,18.4,196.4,82.1,317,27.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-17,18.2,14.2,13.4,84,20.5,208.4,75.5,304.2,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-18,20,14,13.7,85.2,14.8,202.2,79.8,324.9,27.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-19,19,15.8,13.9,82.9,14.8,204.4,90.3,243.4,20.9,nublado,parcialmente_nublado
Lima,2010-10-20,19,16,14.1,83,22.3,166.8,88.7,174.4,15,parcialmente_nublado,nublado
Lima,2010-10-21,20,15.9,14.5,83.8,18.4,171.2,97.3,302.9,26.2,nublado,parcialmente_nublado
Lima,2010-10-22,20,16,14.6,83.4,16.6,190.7,98.6,311.2,26.8,nublado,nublado
Lima,2010-10-23,19,15.7,14.5,85.3,14.8,216,99.5,304.6,26.3,nublado,nublado
Lima,2010-10-24,20,16,14.1,80.5,13,211,94.5,304.5,26.3,nublado,nublado
Lima,2010-10-25,20,16,14.2,80.1,13,201,98.6,334.2,28.7,nublado,nublado
Lima,2010-10-26,20,16,14.3,81.8,20.5,182.1,98.9,337.7,29.3,nublado,nublado
Lima,2010-10-27,20,16,14.6,83.6,16.6,196.2,100,336.3,28.8,nublado,nublado
Lima,2010-10-28,19,15.8,14.3,83.8,13,183.5,100,339.7,29.4,nublado,nublado
Lima,2010-10-29,20,16,14.1,80.5,14.8,181.2,89.9,345.7,29.7,parcialmente_nublado,nublado
Lima,2010-10-30,20,16,14.4,80.8,14.8,184.8,77.9,344.4,29.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-10-31,18,15,14,84.9,9.4,225.3,86.6,332.9,28.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-01,18.2,15,13.9,84.1,22.3,186.4,100,330,28.5,nublado,parcialmente_nublado
Lima,2010-11-02,20.1,16,13.6,77.1,16.6,196.1,91.1,282.4,24.5,nublado,nublado
Lima,2010-11-03,20.8,16,13.7,77.7,20.5,179.5,83.4,347.7,30,parcialmente_nublado,nublado
Lima,2010-11-04,21,16,13.4,76.4,22.3,179.3,72.9,352.7,30.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-05,19,15.8,13.5,79.4,16.6,198.9,72.8,337.1,29,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-06,19,15,13.8,84,14.8,233.7,87.6,320.8,27.6,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-07,19,15.7,13.9,82.7,24.1,188.3,89.2,303.6,26.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-08,19.1,15.9,14,82.1,22.3,171.2,80.4,342.5,29.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-09,20,14.9,13.8,80.4,18.4,197.1,67.3,310.6,26.6,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-10,20,16,14.5,84.4,14.8,197.2,91.5,310.1,26.7,nublado,parcialmente_nublado
Lima,2010-11-11,20,16,14.6,81.8,13,193.6,86.2,298,25.9,parcialmente_nublado,nublado
Lima,2010-11-12,20.1,16,15.1,85,18.4,190.9,82.7,229.7,19.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-13,21,16,14.8,84,14.8,201,84.6,333.9,28.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-14,21,16,14.7,83.2,18.4,181.8,81.9,286.9,24.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-15,20,16,14.8,84.4,20.5,188.5,89.5,321.3,27.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-16,21,16,14.9,84.1,18.4,175,75,333.3,28.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-17,22,16.8,15.2,80.7,25.9,170.5,74.6,329.9,28.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-18,21.2,15.7,15.1,82.4,31.3,169.9,64.5,239.6,20.6,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-19,22,16,15.5,84.3,20.5,173,86.4,341.1,29.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-20,23,18,15.5,77.6,22.3,170,82.7,341.6,29.4,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-21,22,17,16,82,16.6,188.4,90.7,327,28.3,nublado,parcialmente_nublado
Lima,2010-11-22,22,17,15.5,79.9,16.6,221,76.9,317.9,27.4,parcialmente_nublado,nublado
Lima,2010-11-23,22,16,15.2,81.7,16.6,201.8,74.9,244.4,21,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-24,19.6,15.9,15.2,84.8,16.6,192.6,66.2,311.4,27.1,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-25,22,16.2,15,78.3,24.1,172.3,77,340.1,29.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-26,21,17,15.6,81.7,18.4,172.7,75.6,196.5,16.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-27,22,17.8,15.5,79.5,18.4,181.9,89.7,322.7,27.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-28,23,17.8,15.6,77.8,20.5,178,76.9,239.6,20.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-29,22.1,17.9,15.9,81.4,16.6,183.5,84.2,229.9,19.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-11-30,21.1,17,16,84.9,11.2,202.6,87.5,175.9,15.1,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-01,21,17,15.2,80,14.8,227,82.6,298.3,25.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-02,21.7,16.9,15.8,82.7,18.4,186,74.9,283.5,24.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-03,21,16.5,15.8,82.9,16.6,183.6,84.7,314,27.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-04,22,17,16.2,83.4,14.8,183.8,88,299.4,25.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-05,20.1,17.9,16.3,86,25.9,171.8,84.5,209.1,18.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-06,21.9,17.9,16.3,83.3,22.3,179.5,74.6,280.6,24.1,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-07,22,17,16.3,81.6,22.3,174.3,86.3,296,25.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-08,23,18,16.4,81.4,22.3,174.8,79.8,216.9,18.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-09,21.2,17,16.4,86,22.3,175,82.6,292.8,25.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-10,21,17,16.6,86.7,18.4,182.7,85.7,270.5,23.2,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-11,23,17.8,16.7,83.8,18.4,180.5,74.7,277.4,24,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-12,23,17.9,17,84.8,22.3,179.1,76.7,305.9,26.4,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-13,22.1,17,16.2,84.2,16.6,224.6,81.8,180.6,15.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-14,20,16.9,15.7,85.8,14.8,196.1,93.8,284.8,24.4,nublado,parcialmente_nublado
Lima,2010-12-15,21.2,16,15.8,85.2,17.6,184.3,75.3,311.1,26.8,parcialmente_nublado,nublado
Lima,2010-12-16,23,17.9,16.2,80.7,27.7,173.4,59,171.5,14.7,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-17,23,17.9,16.4,82.1,18.4,176.5,67.9,289.7,24.9,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-18,23.1,17.8,16.6,83,16.6,194.3,83.7,285.3,24.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-19,24,18,16.4,80.7,14.8,184.5,75.8,285.4,24.6,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-20,22,17.8,16.3,83.8,13,258.2,74.9,231.9,20.1,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-21,22.7,17.9,16.9,84,14.8,249.4,78.7,170.6,14.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-22,23.8,18.9,17.3,83.7,16.6,183.4,76.3,312,26.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-23,23,18,17.2,84.6,14.8,195,84.5,214.1,18.6,lluvioso,parcialmente_nublado
Lima,2010-12-24,24.2,18,17.4,81.7,13,186.7,83.7,215.6,18.6,lluvioso,lluvioso
Lima,2010-12-25,24,18,17,81,18.4,189.2,70.2,211.2,18.2,parcialmente_nublado,lluvioso
Lima,2010-12-26,23,18,16.9,79.8,25.9,175.1,71.4,284.1,24.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-27,24,19,17.2,77.7,18.4,176,64,271.2,23.4,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-28,23,18,17.3,81.8,22.3,175.5,53,284.9,24.5,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-29,24.2,18.8,17.3,80.5,18.4,177.9,68.5,218.6,18.8,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-30,23,18.9,17.3,83.7,18.4,173.4,76.5,257.8,22.3,parcialmente_nublado,parcialmente_nublado
Lima,2010-12-31,24,18,17.7,84.2,18.4,169.9,82.1,331.1,28.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-01,23.9,18,17.7,82.5,16.6,177,62.9,304,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-02,25,18.8,17.6,79.2,20.5,175.9,70,239.3,20.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-03,25,19.7,17.9,79.7,20.5,171.3,78.2,237.2,20.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-04,23.7,17.8,17.2,83.8,13,225.4,65,247.6,21.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-05,23,17.9,17.1,83.7,16.6,185.2,87.2,149,12.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-06,25,18,16.8,78.1,20.5,183.8,78.3,212.6,18.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-07,23.1,18.8,16.9,78.2,24.1,172.3,71.8,234,20.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-08,24,19,17.3,80.9,20.5,172.7,72.3,280.1,24.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-09,25,19,17.1,78.5,16.6,179.7,71.1,228.5,19.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-10,23.8,19,17.2,79.1,20.5,179.1,65.8,274.3,23.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-11,25,19,17.3,80.1,20.5,175.9,78.9,259.9,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-12,25.8,19,17.7,78.3,23.1,178.6,55.5,312.3,27.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-13,25,19,18.1,80.9,16.6,185.9,78.1,224.8,19.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-14,27,19,18,76.4,13,188.8,68.8,296.2,25.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-15,25.1,19.9,17.7,76.4,29.5,169,68.2,260.8,22.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-16,25,19.8,17.7,77.1,18.4,173.8,69.1,181.4,15.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-17,24,18,18.2,82.6,16.6,279,66.9,308.7,26.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-18,27,18.4,18.3,77.8,16.6,185.5,76.1,256.7,22.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-19,26.1,20,18,76.9,16.6,186.5,80.3,115.1,9.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-20,25,19.8,17.3,77.1,18.4,178,75.1,244.5,21.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-21,25,19,17.2,77,20.5,175.7,78.8,226.5,19.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-22,25.1,18.8,17.1,77.2,20.5,182.3,70.8,258.8,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-23,26,18.6,17.8,79.2,18.4,175.7,67.7,240.4,20.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-24,25,19,17.4,77,16.6,177.4,58,296.8,25.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-25,26.2,19,18.3,79.4,16.6,181.8,53.7,313,27,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-26,26,19.9,18.7,80.5,24.1,171,69.8,305.6,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-27,27,21.1,19.4,78.1,22.3,169.3,79.8,259.1,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-28,27,22,19.4,76,20.5,175,82.9,212.8,18.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-29,27.7,21.8,19.6,77.1,16.6,179.4,82.5,259.3,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-30,28,21,19.4,78.1,38.9,170.3,60.6,277.3,24,parcialmente_nublado,parcialmente_nublado
Lima,2011-01-31,26,20,19.6,84.1,24.1,170.3,74.1,299.9,26,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-01,26.7,21,19.1,80.3,20.5,177.6,71.5,296.8,25.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-02,26.7,21,19.2,77.6,22.3,175.5,72,256.6,22.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-03,26,20.7,19.4,79.9,27.7,168.6,78.3,260,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-04,28,21,19.7,78.7,16.6,195,74.2,179.7,15.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-05,29,21,19.2,77.3,20.5,193.6,70,281,24.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-06,28,22.8,19.5,75.3,14.8,180.4,81.3,209.3,18.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-07,29,21.9,19.7,76.2,16.6,182.8,80.7,284.8,24.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-08,28,22,20.9,81.4,14.8,185.4,80.2,220.6,19,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-09,29,21,19.7,77,14.8,184.4,63.6,274.5,23.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-10,25.8,20.8,20.1,84.8,24.1,171.2,66.3,170.8,14.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-11,27,20.2,20.1,82.6,24.1,171.3,81.3,147.3,12.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-12,26,21,20.2,83.6,24.1,169,85.4,229.4,19.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-13,27,21.9,20.2,82.7,24.1,179.6,68.6,317,27.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-14,25.1,21,19.9,83.7,13,193.2,86.7,203.2,17.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-15,26.9,19,19.1,83.5,11.2,213.3,65.6,326.6,28.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-16,28,20,19.2,78.7,16.6,196.3,52.3,328.3,28.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-17,26,20,18.7,78.7,24.1,175.2,67.4,262.4,22.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-18,25,19.9,18.6,82.4,13,201.8,78.5,221.2,19.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-19,27,19,18.2,78.7,16.6,190.1,48.5,237.4,20.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-20,26,18.9,17.8,78.4,16.6,182.1,63.2,316.2,27.4,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-21,26.2,19,17.8,78.4,16.6,191,57.6,316.1,27.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-22,27.1,20,18.1,79.3,14.8,191.6,79,250,21.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-23,25,19,18,79.7,13,204.6,68.8,299.1,25.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-24,28,19,18.1,73.3,20.5,186.8,74.4,304.3,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-25,30,21.9,18.2,67.7,18.4,178.5,72.4,257.2,22.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-26,29,21,18.7,73.1,18.4,176.8,58.8,320.5,27.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-27,25,19,18.5,86.2,18.4,178.7,73.7,251.3,21.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-02-28,23,18.7,18.4,88.6,13,261,94.8,309.9,26.8,nublado,parcialmente_nublado
Lima,2011-03-01,22,18,18,90.7,16.6,308.5,98,335.5,28.8,nublado,nublado
Lima,2011-03-02,23,18,18.2,89.2,13,277.7,78.3,330.4,28.4,parcialmente_nublado,nublado
Lima,2011-03-03,27,19.2,17.5,72.6,9.4,251.6,69,304.2,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-04,28,21.8,17.6,67,11.2,231.4,59.1,272,23.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-05,28,20.9,18.6,74.1,16.6,186.1,72.9,292.3,25.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-06,26,20,18.4,79.1,13,199.3,77.8,255.7,22,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-07,27,19,18.5,79.8,14.8,205.4,51,312.6,27,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-08,26,19,18.6,80.1,14.8,196.1,52.3,202.5,17.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-09,27,19,18.2,79,13,203.8,62.3,272.2,23.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-10,27,20.2,18.6,77,11.2,240.6,70.5,307.9,26.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-11,27,21,18.4,76.7,11.2,235.7,70.6,231.2,19.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-12,27.1,19.8,18.5,76.7,16.6,190.9,56,253,21.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-13,23.7,20,18.5,81.7,16.6,251.5,78.4,258.4,22.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-14,25.8,19,18.5,80.6,11.2,234.1,66.8,309.9,26.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-15,25,19,18.2,81.6,16.6,185.1,64.1,305.4,26.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-16,23.8,18,17.7,87.1,13,213.7,62.8,283,24.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-17,22,18,17.3,85.4,18.4,299,73.8,271,23.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-18,22.1,18,17.5,85.1,14.8,272.9,74.9,290.9,25,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-19,23.1,16.9,17.7,86.4,14.8,265.5,83.8,185.4,16,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-20,24,19,18.4,83.8,14.8,266.1,77.1,184.7,15.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-21,28,19.8,18.2,78.2,16.6,220.2,77.9,270.3,23.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-22,25,19.1,18.1,80.4,16.6,182.2,60.9,252.3,21.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-23,25,18.9,18.1,84.2,20.5,178.3,62.3,169.1,14.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-24,26,19,17.7,81.8,14.8,185.7,83.3,251.1,21.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-25,25,19,18.1,83.6,24.1,174.6,70.4,243.2,21,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-26,24,18,17.6,83.9,20.7,177.9,65.3,263.9,22.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-27,22,18,17.5,88.3,16.6,202.6,90.6,228.8,19.8,nublado,parcialmente_nublado
Lima,2011-03-28,20.8,17,17,89.5,18.4,297.2,78.4,245.6,21.3,parcialmente_nublado,nublado
Lima,2011-03-29,24,17,17.1,87.1,14.8,198.5,78.6,286,24.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-03-30,21,16.9,16.9,90.6,11.2,242.2,86.5,264.1,22.7,lluvioso,parcialmente_nublado
Lima,2011-03-31,24,17,17.1,86.2,14.8,224.8,75.1,279.4,24.1,parcialmente_nublado,lluvioso
Lima,2011-04-01,24,19,17.7,82,16.6,196.4,76.1,267.1,23,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-02,23,18,17.5,84.5,18.4,178,73.1,265,22.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-03,24,18.9,17.3,82.2,18.4,174.2,66.1,289.5,25,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-04,24.1,17,17,85.3,14.8,202.5,72.7,202.1,17.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-05,25,18.7,17.4,82.9,20.5,179.2,61.3,274.4,23.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-06,23,16.8,17.4,84.8,18.4,178.6,67.7,123.6,10.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-07,25.7,19,18.2,83,16.6,177.4,72,229.2,19.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-08,24,18,18,87.4,14.8,187.7,70.7,209.4,18.1,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-09,26,18,18.1,84,16.6,191.4,66.5,258.4,22.3,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-10,24,17.9,17.6,88,18.4,183.8,73.6,268.7,23.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-11,24,16.7,17.3,87.6,18.4,198,78.2,251.1,21.6,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-12,22.1,17.9,17.2,89.4,13,210.2,78.6,253.9,21.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-13,25,16.9,17.2,85,13,184.4,66.6,280.2,24.2,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-14,25,17.9,17.3,81.4,20.5,177.1,59.8,276.1,23.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-15,24.1,18,16.8,81.1,20.5,183.7,73.6,126.1,11,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-16,23,17.9,16.5,81.2,22.3,182.8,72.1,227.2,19.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-17,24,17.8,17.1,83.4,14.8,186.9,58.5,263.8,22.7,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-18,24,18.1,17.4,81.1,18.4,185.3,57.5,232,19.9,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-19,23,18,17.3,82.9,20.7,176.7,48.9,265.2,22.8,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-20,22.9,17.9,17.1,85.1,14.8,206.3,64.5,262.1,22.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-21,24,17.9,17.4,85.8,13,193.6,44.9,249.1,21.5,parcialmente_nublado,parcialmente_nublado
Lima,2011-04-22,24,18,17.4,82.9,18.4,171.4,54,254.5,22,parcialmente_nublado,parcialmente_nublado
